dtime,total_e,v1,v2,v3,a1,a2,a3
2023-04-05 00:09:00,55747.770,135.583,131.708,134.586,1.670,0.167,1.555
2023-04-05 00:19:00,55747.850,137.082,132.921,136.090,1.681,0.168,1.565
2023-04-05 00:30:00,55748.040,135.569,132.109,134.688,1.671,0.169,1.554
2023-04-05 00:40:00,55748.110,135.491,131.786,134.526,1.672,0.172,1.554
2023-04-05 00:50:00,55748.180,135.303,131.143,134.490,1.670,0.169,1.554
2023-04-05 01:00:00,55748.370,136.135,131.990,135.206,1.676,0.169,1.559
2023-04-05 01:10:00,55748.430,135.473,131.833,134.730,1.669,0.167,1.554
2023-04-05 01:19:00,55748.500,134.664,130.285,133.766,1.666,0.171,1.549
2023-04-05 01:29:00,55748.660,131.058,126.620,130.261,12.884,13.414,12.276
2023-04-05 01:39:00,55749.750,129.288,125.588,128.989,21.985,20.785,21.835
2023-04-05 01:49:00,55751.000,129.183,125.092,128.774,22.117,20.501,21.744
2023-04-05 01:59:00,55752.240,130.111,126.159,129.753,22.031,20.451,21.745
2023-04-05 02:09:00,55753.600,129.986,126.041,129.487,22.163,20.539,21.798
2023-04-05 02:20:00,55754.590,134.864,131.289,134.654,1.670,0.169,1.552
2023-04-05 02:30:00,55754.670,135.035,130.609,134.383,1.673,0.168,1.555
2023-04-05 02:40:00,55754.850,136.048,132.131,135.306,1.674,0.168,1.557
2023-04-05 02:50:00,55754.920,134.461,130.936,133.791,1.666,0.170,1.548
2023-04-05 03:00:00,55754.990,135.678,131.604,134.787,1.671,0.169,1.554
2023-04-05 03:09:00,55755.180,134.856,130.766,134.237,1.667,0.170,1.550
2023-04-05 03:20:00,55755.250,134.963,131.065,134.243,1.668,0.169,1.552
2023-04-05 03:29:00,55755.310,135.638,132.109,135.455,1.676,0.168,1.559
2023-04-05 03:39:00,55755.490,134.854,130.789,134.447,1.670,0.172,1.552
2023-04-05 03:50:00,55755.560,135.194,131.204,134.634,1.669,0.170,1.552
2023-04-05 04:00:00,55755.630,135.178,131.351,134.838,1.670,0.170,1.553
2023-04-05 04:09:00,55755.820,135.459,131.307,135.241,1.670,0.167,1.554
