dtime,total_e,v1,v2,v3,a1,a2,a3
2023-04-25 00:09:00,5854.598,229.213,223.828,234.807,0.398,0.388,0.037
2023-04-25 00:20:00,5854.604,229.864,224.334,234.837,0.397,0.386,0.039
2023-04-25 00:30:00,5854.611,230.215,224.344,235.376,0.397,0.387,0.038
2023-04-25 00:40:00,5854.618,229.901,224.314,235.209,0.398,0.388,0.038
2023-04-25 00:50:00,5854.625,230.033,223.643,234.745,0.396,0.387,0.037
2023-04-25 01:00:00,5854.631,230.411,224.484,235.385,0.405,0.395,0.038
2023-04-25 01:09:00,5854.638,229.930,224.216,234.897,0.399,0.389,0.037
2023-04-25 01:20:00,5854.645,231.379,225.477,236.532,0.401,0.392,0.038
2023-04-25 01:29:00,5854.651,229.174,223.388,234.805,0.398,0.389,0.039
2023-04-25 01:40:00,5854.658,228.798,222.589,233.648,0.403,0.392,0.038
2023-04-25 01:50:00,5854.665,229.575,223.560,234.843,0.395,0.385,0.037
2023-04-25 02:00:00,5854.672,229.778,223.813,235.304,0.404,0.394,0.037
2023-04-25 02:09:00,5854.678,231.257,225.256,236.471,0.405,0.396,0.036
2023-04-25 02:19:00,5854.686,231.114,225.676,236.741,0.399,0.390,0.036
2023-04-25 02:30:00,5854.692,231.296,225.564,236.904,0.400,0.390,0.036
2023-04-25 02:40:00,5854.699,231.114,225.966,236.479,0.416,0.406,0.038
2023-04-25 02:50:00,5854.706,230.954,225.791,236.678,0.405,0.394,0.040
2023-04-25 03:00:00,5854.713,230.730,225.075,235.449,0.402,0.392,0.038
2023-04-25 03:10:00,5854.720,228.880,223.678,234.574,0.400,0.389,0.039
2023-04-25 03:20:00,5854.726,230.257,225.145,236.283,0.397,0.387,0.039
2023-04-25 03:30:00,5854.733,229.912,224.512,235.656,0.398,0.388,0.036
2023-04-25 03:40:00,5854.740,230.872,225.954,236.740,0.399,0.390,0.036
2023-04-25 03:50:00,5854.746,231.412,225.931,236.546,0.399,0.389,0.038
2023-04-25 04:00:00,5854.753,231.110,226.323,236.503,0.399,0.390,0.038
2023-04-25 04:10:00,5854.760,230.979,226.217,236.249,0.398,0.387,0.039
2023-04-25 04:20:00,5854.767,231.029,226.004,236.296,0.401,0.391,0.039
2023-04-25 04:30:00,5854.773,231.868,226.684,237.339,0.399,0.389,0.038
2023-04-25 04:40:00,5854.780,232.084,226.557,237.313,0.397,0.387,0.039
